ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,Y
20001,250000,39,2,2,1,40,0,0,0,0,0,0,121558,126367,130658,79361,81196,83040,6500,7000,4000,3000,3000,4000,0
20002,140000,75,1,2,1,35,1,2,2,0,0,0,147946,150934,136222,124871,118141,111716,7000,10,6015,4000,4000,5000,0
20003,300000,39,2,2,1,50,-2,-2,-2,-2,-2,-2,882,0,0,0,0,0,0,0,0,0,0,0,0
20004,70000,47,2,1,2,30,0,0,0,0,0,2,12196,13291,14563,14625,15589,15189,1300,1500,600,1200,0,600,0
20005,420000,54,1,2,1,41,-1,-1,-1,-1,-1,-1,16657,2578,523,1855,14539,7647,2590,525,1864,14611,7685,26477,0
20006,230000,84,2,1,1,31,-1,-1,-2,-1,-1,-1,623,0,0,1100,0,1383,0,0,1100,0,1383,905,0
20007,230000,28,2,2,1,36,0,0,0,2,0,0,3745,4632,4979,631,1635,10244,3000,2023,0,1004,10019,1141,0
20008,50000,56,1,2,2,35,0,0,0,0,0,0,50497,49289,36295,20067,20197,20202,2011,5009,2000,1000,1500,3000,0
20009,180000,88,2,2,2,29,0,0,0,0,0,0,151652,146805,143134,136777,133938,133723,6000,7000,5000,5000,5000,4679,0
20010,250000,39,2,2,1,36,0,0,0,0,-1,0,253627,239250,245611,33017,182078,184036,10153,11000,4701,190071,8000,10014,0
20011,80000,68,1,3,1,47,0,0,0,0,0,0,70062,19669,20696,21709,22348,22988,1321,1348,1361,1000,1000,2000,0
20012,20000,80,1,2,1,33,0,0,0,0,0,0,11026,9535,10510,10472,10140,10101,1174,1149,501,356,507,458,0
20013,500000,51,2,1,2,29,0,0,0,0,0,0,33252,39078,33086,18304,16604,9505,10000,2014,3030,8006,1000,1000,0
20014,100000,62,1,1,1,42,2,0,0,0,0,0,95926,98437,98480,63372,39138,39857,5000,3100,2000,1600,1500,2000,0
20015,440000,75,2,3,1,50,0,0,0,0,0,0,250825,167091,144804,67729,66077,60074,10043,8608,25031,25030,22053,20030,0
20016,180000,83,1,1,2,32,-1,-1,2,-1,-1,-1,291,582,291,291,291,291,582,0,291,291,291,291,0
20017,20000,29,1,5,2,50,0,0,0,-1,-1,-2,19062,19242,14725,780,0,0,1333,1000,780,0,0,0,0
20018,500000,33,2,2,1,36,0,0,0,0,0,0,261502,286708,311641,326298,270968,315889,30000,30000,20507,50000,50047,20413,0
20019,20000,76,1,2,2,23,3,2,2,-1,2,2,18781,13255,0,20358,18044,20325,0,0,20358,0,2577,0,0
20020,50000,79,1,2,1,43,2,0,0,0,0,0,30106,30566,30699,30038,29224,29346,1878,1641,1000,934,1109,960,0
20021,170000,66,1,1,1,51,-1,-1,-1,-1,-1,-1,316,316,316,316,316,316,316,316,316,316,316,316,0
20022,50000,63,1,3,2,47,0,0,0,0,0,0,15019,16026,17257,41868,23201,18623,1263,1494,25105,728,651,624,0
20023,50000,85,1,1,2,49,0,0,0,0,0,0,48135,15317,12579,29035,17878,18586,1314,1506,19300,1000,1000,700,0
20024,190000,73,1,1,1,55,-1,-1,-1,-1,-1,-1,5928,9770,8032,30,240,540,9770,8034,0,600,690,742,0
20025,190000,73,2,1,1,43,-2,-2,-2,-2,-2,-2,1675,4873,3468,27395,0,148120,4873,3472,27403,0,148120,6546,0
20026,440000,83,2,1,1,37,-1,-1,-1,-1,-1,-1,5302,13333,686,-414,2736,12586,13333,1383,0,3150,13000,5500,0
20027,50000,43,1,2,1,47,1,-1,-1,-1,-2,-2,0,835,226,-1300,-1300,-1300,835,226,0,0,0,0,0
20028,240000,67,1,2,2,46,-2,-2,-2,-2,-2,-2,2995,3808,5736,3328,3901,3413,4028,7266,3422,5020,3517,57,0
20029,450000,41,2,2,1,36,-1,-1,-1,-1,-1,-1,3087,2081,198,9532,3420,130,2081,198,9532,3420,130,878,0
20030,30000,86,1,2,2,34,0,0,0,0,0,0,29302,30052,29349,29476,30014,29785,1530,1416,1142,1102,1106,3450,0
20031,230000,18,2,1,1,35,-1,-1,-1,-1,-1,-1,4043,10609,4982,43509,2271,13486,10670,5008,43736,2282,13553,2980,0
20032,50000,35,2,1,2,24,0,0,0,-1,-1,-1,27320,50339,40791,13676,9457,390,27704,5000,13676,9457,14000,568,0
20033,130000,44,1,1,2,28,0,0,0,0,0,0,89418,83196,75028,65086,60346,52272,4000,2338,2000,2018,2000,1700,0
20034,380000,79,1,1,1,52,1,-1,-1,-1,-1,-2,0,2879,1395,3261,0,0,742,1395,3261,0,0,0,0
20035,150000,66,2,1,2,29,0,0,0,0,0,0,39215,49300,53030,65006,50515,0,11200,16000,12376,1109,0,0,0
20036,30000,74,1,3,2,30,1,2,2,2,2,2,4318,5096,6353,7092,7972,7702,1000,1500,1000,1000,0,1000,0
20037,480000,53,2,3,1,39,-2,-2,-1,-1,-1,0,51303,74639,67306,19895,23650,12616,73428,20496,34,23682,29,10565,0
20038,90000,40,1,2,1,31,0,0,0,0,0,0,70329,69073,70561,72021,73912,58301,2471,2600,2633,3108,2052,1858,0
20039,230000,20,1,2,2,46,1,-1,-1,-1,-1,-1,378,907,1599,378,756,0,907,1599,378,756,0,754,0
20040,150000,52,2,2,2,28,0,0,0,0,0,0,46576,43583,45569,46533,47653,49729,2500,3000,2000,2000,3000,2000,0
20041,320000,49,2,2,1,32,0,0,0,-2,-1,0,44312,23132,-2793,-2793,20381,25198,3000,23,0,23381,5000,5000,0
20042,50000,59,1,2,1,49,0,0,0,0,0,0,10750,8755,8684,5983,4252,5034,1507,3109,2209,2000,2500,3000,0
20043,250000,23,1,2,1,50,-2,-2,-2,-1,-1,-1,390,390,390,8042,16014,5607,390,390,8042,16014,5607,390,0
20044,440000,49,1,1,2,31,0,0,-1,-1,0,0,37547,29349,23713,25427,21187,26486,20016,29748,25448,10015,14501,11501,0
20045,150000,69,2,1,1,45,0,0,0,0,0,0,123580,126136,128709,131292,134011,136711,3575,3647,3678,3793,3835,3952,0
20046,80000,57,1,1,2,29,0,0,0,0,0,0,79048,80676,78311,80777,79306,79195,3000,3100,7000,3200,3500,3200,0
20047,360000,88,1,3,1,41,-1,-1,-1,-1,-1,-1,498,498,498,498,498,498,498,498,498,498,498,498,0
20048,200000,58,1,2,2,29,-1,-1,-1,-2,-2,-2,8951,6595,0,0,0,0,9117,0,0,0,0,0,0
20049,360000,68,1,2,1,38,1,-2,-2,-1,2,2,0,0,0,2500,2500,0,0,0,2500,0,0,0,0
20050,80000,36,2,2,1,31,0,0,0,0,0,0,70492,68652,67881,38465,27773,29132,2806,4006,1804,2003,3004,1502,0
20051,10000,62,1,3,2,31,0,0,2,0,0,0,10119,10188,9089,9271,9618,8516,3000,0,295,459,1500,2000,0
20052,50000,78,2,3,2,23,0,0,0,0,0,0,49385,49527,29550,29894,30125,30192,1500,1467,1201,1236,1103,1042,0
20053,10000,59,1,2,1,44,0,0,0,0,0,0,6436,6398,5295,5635,8735,6745,3012,2000,3009,4000,0,0,0
20054,60000,71,1,1,2,27,-1,-1,0,0,0,0,2165,18214,13172,8717,8552,9902,18214,13000,2000,3000,2000,0,0
20055,10000,40,2,2,2,22,-1,-1,0,0,0,0,656,8748,9644,9541,8971,9645,10128,1200,400,323,1600,300,0
20056,100000,83,2,1,1,26,0,0,0,0,0,0,98530,95849,97235,93531,43975,45512,4301,4615,2729,1275,47052,1680,0
20057,20000,32,2,2,1,45,-1,-1,-1,-1,-1,-1,650,264,264,264,654,654,264,264,264,1044,654,264,0
20058,130000,54,2,2,1,31,-1,-1,0,0,0,0,6279,10862,5878,15306,8015,5965,11054,5172,14593,727,5222,4200,0
20059,410000,61,2,2,1,43,0,0,0,0,0,0,6917,7548,8726,9760,9570,8935,1130,2000,2200,312,500,363,0
20060,120000,75,2,2,1,31,0,0,0,0,2,2,46736,75853,79570,106523,108614,107519,30000,5000,30000,3900,4000,3800,0
20061,200000,37,1,2,2,27,-1,0,0,-2,-2,-2,131791,17666,0,0,0,0,2000,0,0,0,0,0,0
